,Headlines,date,,
3736,Watchdogs Appointed by Trump Pose Dilemma for Biden,2021-02-01,,
3737,"Jack Palladino, 76, Hard-Charging Private Investigator, Dies After ‘Brutal Attack’",2021-02-01,,
3738,Separated Families: A Legacy Biden Has Inherited From Trump,2021-02-01,,
3739,Trump Official’s Last-Day Deal With ICE Union Ties Biden’s Hands,2021-02-01,,
3740,McConnell says ‘loony lies’ spread by Marjorie Taylor Greene are a ‘cancer’ on G.O.P.,2021-02-01,,
3741,Trump’s New Lawyers Not Expected to Focus on False Election Claims in His Defense,2021-02-01,,
3742,Republicans Pitch Biden on Smaller Aid Plan as Democrats Prepare to Act Alone,2021-02-01,,
3743,"Tim Ryan, a Top Democrat in Ohio, Is Said to Plan Senate Bid",2021-02-01,,
3744,Coronavirus Briefing: What Happened Today,2021-02-01,,
3745,"Trump’s Sleight of Hand: Shouting Fraud, Pocketing Donors’ Cash for Future",2021-02-01,,
3746,Watchdogs Appointed by Trump Pose Dilemma for Biden,2021-02-01,,
3747,"Jack Palladino, 76, Hard-Charging Private Investigator, Dies After ‘Brutal Attack’",2021-02-01,,
3748,Separated Families: A Legacy Biden Has Inherited From Trump,2021-02-01,,
3749,Trump Official’s Last-Day Deal With ICE Union Ties Biden’s Hands,2021-02-01,,
3750,McConnell says ‘loony lies’ spread by Marjorie Taylor Greene are a ‘cancer’ on G.O.P.,2021-02-01,,
3751,Trump’s New Lawyers Not Expected to Focus on False Election Claims in His Defense,2021-02-01,,
3752,Republicans Pitch Biden on Smaller Aid Plan as Democrats Prepare to Act Alone,2021-02-01,,
3753,"Tim Ryan, a Top Democrat in Ohio, Is Said to Plan Senate Bid",2021-02-01,,
3754,Coronavirus Briefing: What Happened Today,2021-02-01,,
3755,"Trump’s Sleight of Hand: Shouting Fraud, Pocketing Donors’ Cash for Future",2021-02-01,,
3756,Watchdogs Appointed by Trump Pose Dilemma for Biden,2021-02-01,,
3757,"Jack Palladino, 76, Hard-Charging Private Investigator, Dies After ‘Brutal Attack’",2021-02-01,,
3758,Separated Families: A Legacy Biden Has Inherited From Trump,2021-02-01,,
3759,Trump Official’s Last-Day Deal With ICE Union Ties Biden’s Hands,2021-02-01,,
3586,Explosion Critically Injures 3 Near Los Angeles,2021-02-02,,
3587,"Three Skiers Found Dead After Avalanche in Colorado, Officials Say",2021-02-02,,
3588,"President Biden pays his respects to Brian Sicknick, the officer who died from injuries from the Capitol riot.",2021-02-02,,
3589,"Judge Postpones Guantánamo Court Appearances, Citing Pandemic",2021-02-02,,
3596,Explosion Critically Injures 3 Near Los Angeles,2021-02-02,,
3597,"Three Skiers Found Dead After Avalanche in Colorado, Officials Say",2021-02-02,,
3598,"President Biden pays his respects to Brian Sicknick, the officer who died from injuries from the Capitol riot.",2021-02-02,,
3599,"Judge Postpones Guantánamo Court Appearances, Citing Pandemic",2021-02-02,,
3606,Explosion Critically Injures 3 Near Los Angeles,2021-02-02,,
3607,"Three Skiers Found Dead After Avalanche in Colorado, Officials Say",2021-02-02,,
3608,"President Biden pays his respects to Brian Sicknick, the officer who died from injuries from the Capitol riot.",2021-02-02,,
3609,"Judge Postpones Guantánamo Court Appearances, Citing Pandemic",2021-02-02,,
3610,Impeachment Case Argues Trump Was ‘Singularly Responsible’ for Capitol Riot,2021-02-02,,
3611,"Eugenio Martínez, Last of the Watergate Burglars, Dies at 98",2021-02-02,,
3612,Coronavirus Briefing: What Happened Today,2021-02-02,,
3613,"Under Pressure to Rebuke Their Own, G.O.P. Leaders Face a Critical Test",2021-02-02,,
3614,"Silentó, Rapper Behind Viral 2015 Hit, Is Charged With Murder",2021-02-02,,
3615,6 Arrested After Briefly Altering Hollywood Sign,2021-02-02,,
3616,People Died at the Capitol. Will Rioters Be Charged With Murder?,2021-02-02,,
3617,A U.S. program aiming to channel a huge number of vaccines through pharmacies will start soon.,2021-02-02,,
3618,Some states in the U.S. are pulling back vaccine doses from the federal program for nursing homes.,2021-02-02,,
3619,Ginni Thomas apologizes to her husband’s Supreme Court clerks for discord she says she caused.,2021-02-02,,
3620,Impeachment Case Argues Trump Was ‘Singularly Responsible’ for Capitol Riot,2021-02-02,,
3621,"Eugenio Martínez, Last of the Watergate Burglars, Dies at 98",2021-02-02,,
3622,Coronavirus Briefing: What Happened Today,2021-02-02,,
3623,"Under Pressure to Rebuke Their Own, G.O.P. Leaders Face a Critical Test",2021-02-02,,
3624,"Silentó, Rapper Behind Viral 2015 Hit, Is Charged With Murder",2021-02-02,,
3625,6 Arrested After Briefly Altering Hollywood Sign,2021-02-02,,
3626,People Died at the Capitol. Will Rioters Be Charged With Murder?,2021-02-02,,
3627,A U.S. program aiming to channel a huge number of vaccines through pharmacies will start soon.,2021-02-02,,
3628,Some states in the U.S. are pulling back vaccine doses from the federal program for nursing homes.,2021-02-02,,
3629,Ginni Thomas apologizes to her husband’s Supreme Court clerks for discord she says she caused.,2021-02-02,,
3630,Impeachment Case Argues Trump Was ‘Singularly Responsible’ for Capitol Riot,2021-02-02,,
3631,"Eugenio Martínez, Last of the Watergate Burglars, Dies at 98",2021-02-02,,
3632,Coronavirus Briefing: What Happened Today,2021-02-02,,
3633,"Under Pressure to Rebuke Their Own, G.O.P. Leaders Face a Critical Test",2021-02-02,,
3634,"Silentó, Rapper Behind Viral 2015 Hit, Is Charged With Murder",2021-02-02,,
3635,6 Arrested After Briefly Altering Hollywood Sign,2021-02-02,,
3636,People Died at the Capitol. Will Rioters Be Charged With Murder?,2021-02-02,,
3637,A U.S. program aiming to channel a huge number of vaccines through pharmacies will start soon.,2021-02-02,,
3638,Some states in the U.S. are pulling back vaccine doses from the federal program for nursing homes.,2021-02-02,,
3639,Ginni Thomas apologizes to her husband’s Supreme Court clerks for discord she says she caused.,2021-02-02,,
3640,Impeachment Case Argues Trump Was ‘Singularly Responsible’ for Capitol Riot,2021-02-02,,
3641,"Eugenio Martínez, Last of the Watergate Burglars, Dies at 98",2021-02-02,,
3642,Coronavirus Briefing: What Happened Today,2021-02-02,,
3643,"Under Pressure to Rebuke Their Own, G.O.P. Leaders Face a Critical Test",2021-02-02,,
3644,"Silentó, Rapper Behind Viral 2015 Hit, Is Charged With Murder",2021-02-02,,
3645,6 Arrested After Briefly Altering Hollywood Sign,2021-02-02,,
3646,People Died at the Capitol. Will Rioters Be Charged With Murder?,2021-02-02,,
3647,A U.S. program aiming to channel a huge number of vaccines through pharmacies will start soon.,2021-02-02,,
3648,Some states in the U.S. are pulling back vaccine doses from the federal program for nursing homes.,2021-02-02,,
3649,Ginni Thomas apologizes to her husband’s Supreme Court clerks for discord she says she caused.,2021-02-02,,
3650,Impeachment Case Argues Trump Was ‘Singularly Responsible’ for Capitol Riot,2021-02-02,,
3651,"Eugenio Martínez, Last of the Watergate Burglars, Dies at 98",2021-02-02,,
3652,Coronavirus Briefing: What Happened Today,2021-02-02,,
3653,"Under Pressure to Rebuke Their Own, G.O.P. Leaders Face a Critical Test",2021-02-02,,
3654,"Silentó, Rapper Behind Viral 2015 Hit, Is Charged With Murder",2021-02-02,,
3655,6 Arrested After Briefly Altering Hollywood Sign,2021-02-02,,
3656,People Died at the Capitol. Will Rioters Be Charged With Murder?,2021-02-02,,
3657,A U.S. program aiming to channel a huge number of vaccines through pharmacies will start soon.,2021-02-02,,
3658,Some states in the U.S. are pulling back vaccine doses from the federal program for nursing homes.,2021-02-02,,
3659,Ginni Thomas apologizes to her husband’s Supreme Court clerks for discord she says she caused.,2021-02-02,,
3660,Impeachment Case Argues Trump Was ‘Singularly Responsible’ for Capitol Riot,2021-02-02,,
3661,"Eugenio Martínez, Last of the Watergate Burglars, Dies at 98",2021-02-02,,
3662,Coronavirus Briefing: What Happened Today,2021-02-02,,
3663,"Under Pressure to Rebuke Their Own, G.O.P. Leaders Face a Critical Test",2021-02-02,,
3664,"Silentó, Rapper Behind Viral 2015 Hit, Is Charged With Murder",2021-02-02,,
3665,6 Arrested After Briefly Altering Hollywood Sign,2021-02-02,,
3666,People Died at the Capitol. Will Rioters Be Charged With Murder?,2021-02-02,,
3667,A U.S. program aiming to channel a huge number of vaccines through pharmacies will start soon.,2021-02-02,,
3668,Some states in the U.S. are pulling back vaccine doses from the federal program for nursing homes.,2021-02-02,,
3669,Ginni Thomas apologizes to her husband’s Supreme Court clerks for discord she says she caused.,2021-02-02,,
3670,Pete Buttigieg Is Confirmed as Biden’s Transportation Secretary,2021-02-02,,
3671,Biden and Drug Makers Look to Speed Coronavirus Vaccine Deliveries,2021-02-02,,
3672,"John J. Sweeney, Crusading Labor Leader, Is Dead at 86",2021-02-02,,
3673,Democrats push to roll back some business tax cuts in stimulus talks.,2021-02-02,,
3674,Five Children and One Man Are Killed in Oklahoma Shooting,2021-02-02,,
3675,"Trump had his greatest loss of support in 2020 with white voters, particularly white men.",2021-02-02,,
3676,2 F.B.I. Agents Killed in Shooting in Florida,2021-02-02,,
3677,The storm was among the biggest in New York City’s recent history.,2021-02-02,,
3678,Biden faces dilemma on what to do with watchdogs appointed by Trump.,2021-02-02,,
3679,What Californians Can Learn From Texas Republicans,2021-02-02,,
3680,Pete Buttigieg Is Confirmed as Biden’s Transportation Secretary,2021-02-02,,
3681,Biden and Drug Makers Look to Speed Coronavirus Vaccine Deliveries,2021-02-02,,
3682,"John J. Sweeney, Crusading Labor Leader, Is Dead at 86",2021-02-02,,
3683,Democrats push to roll back some business tax cuts in stimulus talks.,2021-02-02,,
3684,Five Children and One Man Are Killed in Oklahoma Shooting,2021-02-02,,
3685,"Trump had his greatest loss of support in 2020 with white voters, particularly white men.",2021-02-02,,
3686,2 F.B.I. Agents Killed in Shooting in Florida,2021-02-02,,
3687,The storm was among the biggest in New York City’s recent history.,2021-02-02,,
3688,Biden faces dilemma on what to do with watchdogs appointed by Trump.,2021-02-02,,
3689,What Californians Can Learn From Texas Republicans,2021-02-02,,
3690,Trump’s lawyers deny he incited the Capitol riot as the House impeachment managers press their case to hold him responsible.,2021-02-02,,
3691,Tired of winter yet? The groundhog isn’t.,2021-02-02,,
3692,New Democratic Ad Campaign Ties G.O.P. to QAnon,2021-02-02,,
3693,Will Biden’s ‘Excellent Meeting’ Bear Fruit?,2021-02-02,,
3694,Yosemite National Park Reopens After Devastating Wind Storm Topples Sequoias,2021-02-02,,
3695,‘Don’t Kill Me’: Others Tell of Abuse by Officer Who Knelt on George Floyd,2021-02-02,,
3696,Why Arizona’s Senators May Collide With Democrats Who Elected Them,2021-02-02,,
3697,Biden Issues Orders to Dismantle Trump’s ‘America First’ Immigration Agenda,2021-02-02,,
3700,Trump’s lawyers deny he incited the Capitol riot as the House impeachment managers press their case to hold him responsible.,2021-02-02,,
3701,Tired of winter yet? The groundhog isn’t.,2021-02-02,,
3702,New Democratic Ad Campaign Ties G.O.P. to QAnon,2021-02-02,,
3703,Will Biden’s ‘Excellent Meeting’ Bear Fruit?,2021-02-02,,
3704,Yosemite National Park Reopens After Devastating Wind Storm Topples Sequoias,2021-02-02,,
3705,‘Don’t Kill Me’: Others Tell of Abuse by Officer Who Knelt on George Floyd,2021-02-02,,
3706,Why Arizona’s Senators May Collide With Democrats Who Elected Them,2021-02-02,,
3707,Biden Issues Orders to Dismantle Trump’s ‘America First’ Immigration Agenda,2021-02-02,,
3710,Trump’s lawyers deny he incited the Capitol riot as the House impeachment managers press their case to hold him responsible.,2021-02-02,,
3711,Tired of winter yet? The groundhog isn’t.,2021-02-02,,
3712,New Democratic Ad Campaign Ties G.O.P. to QAnon,2021-02-02,,
3713,Will Biden’s ‘Excellent Meeting’ Bear Fruit?,2021-02-02,,
3714,Yosemite National Park Reopens After Devastating Wind Storm Topples Sequoias,2021-02-02,,
3715,‘Don’t Kill Me’: Others Tell of Abuse by Officer Who Knelt on George Floyd,2021-02-02,,
3716,Why Arizona’s Senators May Collide With Democrats Who Elected Them,2021-02-02,,
3717,Biden Issues Orders to Dismantle Trump’s ‘America First’ Immigration Agenda,2021-02-02,,
3490,Family of Man Attacked by Fire Ants at V.A. Facility Before His Death Sues U.S.,2021-02-03,,
3491,Why We Can’t Stop Talking About Betty Friedan,2021-02-03,,
3492,House Republicans choose to keep Liz Cheney in leadership post after her vote to impeach Trump.,2021-02-03,,
3493,"Lawmaker Promoted Stem Cell Therapy for Covid-19 in Fraud Scheme, U.S. Says",2021-02-03,,
3494,"Top House Republican Condemns Marjorie Taylor Greene’s Comments, but Stands by Her",2021-02-03,,
3495,Justice Department Unveils Further Charges in Capitol Riot,2021-02-03,,
3496,Former Columbus Police Officer Is Charged With Murder,2021-02-03,,
3497,Coronavirus Briefing: What Happened Today,2021-02-03,,
3498,Officer Killed in Jan. 6 Assault Is Honored at the Capitol,2021-02-03,,
3499,Democrats Press Ahead on Stimulus as Biden Signals Openness to Changes,2021-02-03,,
3500,Family of Man Attacked by Fire Ants at V.A. Facility Before His Death Sues U.S.,2021-02-03,,
3501,Why We Can’t Stop Talking About Betty Friedan,2021-02-03,,
3502,House Republicans choose to keep Liz Cheney in leadership post after her vote to impeach Trump.,2021-02-03,,
3503,"Lawmaker Promoted Stem Cell Therapy for Covid-19 in Fraud Scheme, U.S. Says",2021-02-03,,
3504,"Top House Republican Condemns Marjorie Taylor Greene’s Comments, but Stands by Her",2021-02-03,,
3505,Justice Department Unveils Further Charges in Capitol Riot,2021-02-03,,
3506,Former Columbus Police Officer Is Charged With Murder,2021-02-03,,
3507,Coronavirus Briefing: What Happened Today,2021-02-03,,
3508,Officer Killed in Jan. 6 Assault Is Honored at the Capitol,2021-02-03,,
3509,Democrats Press Ahead on Stimulus as Biden Signals Openness to Changes,2021-02-03,,
3510,Family of Man Attacked by Fire Ants at V.A. Facility Before His Death Sues U.S.,2021-02-03,,
3511,Why We Can’t Stop Talking About Betty Friedan,2021-02-03,,
3512,House Republicans choose to keep Liz Cheney in leadership post after her vote to impeach Trump.,2021-02-03,,
3513,"Lawmaker Promoted Stem Cell Therapy for Covid-19 in Fraud Scheme, U.S. Says",2021-02-03,,
3514,"Top House Republican Condemns Marjorie Taylor Greene’s Comments, but Stands by Her",2021-02-03,,
3515,Justice Department Unveils Further Charges in Capitol Riot,2021-02-03,,
3516,Former Columbus Police Officer Is Charged With Murder,2021-02-03,,
3517,Coronavirus Briefing: What Happened Today,2021-02-03,,
3518,Officer Killed in Jan. 6 Assault Is Honored at the Capitol,2021-02-03,,
3519,Democrats Press Ahead on Stimulus as Biden Signals Openness to Changes,2021-02-03,,
3520,Family of Man Attacked by Fire Ants at V.A. Facility Before His Death Sues U.S.,2021-02-03,,
3521,Why We Can’t Stop Talking About Betty Friedan,2021-02-03,,
3522,House Republicans choose to keep Liz Cheney in leadership post after her vote to impeach Trump.,2021-02-03,,
3523,"Lawmaker Promoted Stem Cell Therapy for Covid-19 in Fraud Scheme, U.S. Says",2021-02-03,,
3524,"Top House Republican Condemns Marjorie Taylor Greene’s Comments, but Stands by Her",2021-02-03,,
3525,Justice Department Unveils Further Charges in Capitol Riot,2021-02-03,,
3526,Former Columbus Police Officer Is Charged With Murder,2021-02-03,,
3527,Coronavirus Briefing: What Happened Today,2021-02-03,,
3528,Officer Killed in Jan. 6 Assault Is Honored at the Capitol,2021-02-03,,
3529,Democrats Press Ahead on Stimulus as Biden Signals Openness to Changes,2021-02-03,,
3530,Justice Department Drops Suit Claiming Yale Discriminated in Admissions,2021-02-03,,
3531,"Jim Justice, a G.O.P. Governor, on Why Biden Needs to ‘Go Big’ on Covid Aid",2021-02-03,,
3532,"Analysis: Fights over Greene and Cheney are bad news for a weakened McCarthy, less of a problem for McConnell.",2021-02-03,,
3533,Lloyd Austin ramps up the fight against right-wing extremism within the military.,2021-02-03,,
3534,"Declaring Democracy Won’t Be Subverted, Biden Demands Russia and Myanmar Reverse Course",2021-02-03,,
3535,Texas Department Apologizes for ‘Chucky’ Amber Alert,2021-02-03,,
3536,Killing of F.B.I. Agents Comes Amid Explosion of Child Sex Abuse Reports,2021-02-03,,
3537,"A poll shows most Americans, including many Republicans, support $1,400 stimulus checks.",2021-02-03,,
3538,"Biden to Welcome More Refugees, but Far From All Will Get In",2021-02-03,,
3539,"U.S. Should Slow Withdrawal From Afghanistan, Bipartisan Panel Urges",2021-02-03,,
3540,Justice Department Drops Suit Claiming Yale Discriminated in Admissions,2021-02-03,,
3541,"Jim Justice, a G.O.P. Governor, on Why Biden Needs to ‘Go Big’ on Covid Aid",2021-02-03,,
3542,"Analysis: Fights over Greene and Cheney are bad news for a weakened McCarthy, less of a problem for McConnell.",2021-02-03,,
3543,Lloyd Austin ramps up the fight against right-wing extremism within the military.,2021-02-03,,
3544,"Declaring Democracy Won’t Be Subverted, Biden Demands Russia and Myanmar Reverse Course",2021-02-03,,
3545,Texas Department Apologizes for ‘Chucky’ Amber Alert,2021-02-03,,
3546,Killing of F.B.I. Agents Comes Amid Explosion of Child Sex Abuse Reports,2021-02-03,,
3547,"A poll shows most Americans, including many Republicans, support $1,400 stimulus checks.",2021-02-03,,
3548,"Biden to Welcome More Refugees, but Far From All Will Get In",2021-02-03,,
3549,"U.S. Should Slow Withdrawal From Afghanistan, Bipartisan Panel Urges",2021-02-03,,
3550,Justice Department Drops Suit Claiming Yale Discriminated in Admissions,2021-02-03,,
3551,"Jim Justice, a G.O.P. Governor, on Why Biden Needs to ‘Go Big’ on Covid Aid",2021-02-03,,
3552,"Analysis: Fights over Greene and Cheney are bad news for a weakened McCarthy, less of a problem for McConnell.",2021-02-03,,
3553,Lloyd Austin ramps up the fight against right-wing extremism within the military.,2021-02-03,,
3554,"Declaring Democracy Won’t Be Subverted, Biden Demands Russia and Myanmar Reverse Course",2021-02-03,,
3555,Texas Department Apologizes for ‘Chucky’ Amber Alert,2021-02-03,,
3556,Killing of F.B.I. Agents Comes Amid Explosion of Child Sex Abuse Reports,2021-02-03,,
3557,"A poll shows most Americans, including many Republicans, support $1,400 stimulus checks.",2021-02-03,,
3558,"Biden to Welcome More Refugees, but Far From All Will Get In",2021-02-03,,
3559,"U.S. Should Slow Withdrawal From Afghanistan, Bipartisan Panel Urges",2021-02-03,,
3560,Supreme Court Rules for Germany in Case on Nazi-Era Art,2021-02-03,,
3561,Some Trump loyalists in the Dept. of Homeland Security could actively resist Biden’s immigration policies.,2021-02-03,,
3562,"Rennie Davis, ‘Chicago Seven’ Antiwar Activist, Dies at 80",2021-02-03,,
3563,Chicago Families Debate School Reopening,2021-02-03,,
3564,The Justice Dept. drops a lawsuit accusing Yale of discriminating against Asian-American and white applicants.,2021-02-03,,
3565,3 National Guard Pilots Are Killed in a Helicopter Crash in Idaho,2021-02-03,,
3566,A Republican move to punish Liz Cheney would create a pro-Trump litmus test for the party.,2021-02-03,,
3567,Why Long Beach Is a Model for the Vaccine Rollout,2021-02-03,,
3568,More than 370 congressional aides call for Trump’s conviction.,2021-02-03,,
3569,McCarthy condemns Marjorie Taylor Greene’s statements but declines to remove her from committees.,2021-02-03,,
3570,Supreme Court Rules for Germany in Case on Nazi-Era Art,2021-02-03,,
3571,Some Trump loyalists in the Dept. of Homeland Security could actively resist Biden’s immigration policies.,2021-02-03,,
3572,"Rennie Davis, ‘Chicago Seven’ Antiwar Activist, Dies at 80",2021-02-03,,
3573,Chicago Families Debate School Reopening,2021-02-03,,
3574,The Justice Dept. drops a lawsuit accusing Yale of discriminating against Asian-American and white applicants.,2021-02-03,,
3575,3 National Guard Pilots Are Killed in a Helicopter Crash in Idaho,2021-02-03,,
3576,A Republican move to punish Liz Cheney would create a pro-Trump litmus test for the party.,2021-02-03,,
3577,Why Long Beach Is a Model for the Vaccine Rollout,2021-02-03,,
3578,More than 370 congressional aides call for Trump’s conviction.,2021-02-03,,
3579,McCarthy condemns Marjorie Taylor Greene’s statements but declines to remove her from committees.,2021-02-03,,
3580,How Trump’s Defense Is Coming Together,2021-02-03,,
3581,"In Rare Public Statement, Congressional Aides Call for Trump’s Conviction",2021-02-03,,
3582,"In the Ozarks, the Pandemic Threatens a Fragile Musical Tradition",2021-02-03,,
3583,"Biden Administration Faces Backlog of 380,000 Waiting to Immigrate",2021-02-03,,
3584,Trump Loyalists Across Homeland Security Could Vex Biden’s Immigration Policies,2021-02-03,,
3585,"Liz Cheney Chooses Her Own Path, and It’s a Perilous One",2021-02-03,,
3590,How Trump’s Defense Is Coming Together,2021-02-03,,
3591,"In Rare Public Statement, Congressional Aides Call for Trump’s Conviction",2021-02-03,,
3592,"In the Ozarks, the Pandemic Threatens a Fragile Musical Tradition",2021-02-03,,
3593,"Biden Administration Faces Backlog of 380,000 Waiting to Immigrate",2021-02-03,,
3594,Trump Loyalists Across Homeland Security Could Vex Biden’s Immigration Policies,2021-02-03,,
3595,"Liz Cheney Chooses Her Own Path, and It’s a Perilous One",2021-02-03,,
3600,How Trump’s Defense Is Coming Together,2021-02-03,,
3601,"In Rare Public Statement, Congressional Aides Call for Trump’s Conviction",2021-02-03,,
3602,"In the Ozarks, the Pandemic Threatens a Fragile Musical Tradition",2021-02-03,,
3603,"Biden Administration Faces Backlog of 380,000 Waiting to Immigrate",2021-02-03,,
3604,Trump Loyalists Across Homeland Security Could Vex Biden’s Immigration Policies,2021-02-03,,
3605,"Liz Cheney Chooses Her Own Path, and It’s a Perilous One",2021-02-03,,
3389,New Zealand Sentences Woman Caught With Cacti Tied to Her Body,2021-02-04,,
3399,New Zealand Sentences Woman Caught With Cacti Tied to Her Body,2021-02-04,,
3409,New Zealand Sentences Woman Caught With Cacti Tied to Her Body,2021-02-04,,
3410,Biden Signals Break With Trump Foreign Policy in a Wide-Ranging State Dept. Speech,2021-02-04,,
3411,15-Year Sentence for Pennsylvania Man Who Abused Girls at Orphanage in Kenya,2021-02-04,,
3412,"Senate Backs Biden’s Stimulus, But Rejects Quick Minimum Wage Increase",2021-02-04,,
3413,Trump Refuses Surprise Call to Testify in His Impeachment Trial,2021-02-04,,
3414,Can’t Get a Shot? Thousands of ‘Vaccine Hunters’ Are Crossing State Borders to Get Theirs,2021-02-04,,
3415,"To ‘Re-engage the World,’ Biden Looks to Win Over U.S. Diplomats First",2021-02-04,,
3416,"House Exiles Marjorie Taylor Greene From Panels, as Republicans Rally Around Her",2021-02-04,,
3417,"Virginia, Shifting Left Fast, Moves Closer to Abolishing Death Penalty",2021-02-04,,
3418,New Boston Police Leader Put on Leave as Domestic Abuse Allegations Surface,2021-02-04,,
3419,Coronavirus Briefing: What Happened Today,2021-02-04,,
3420,Biden Signals Break With Trump Foreign Policy in a Wide-Ranging State Dept. Speech,2021-02-04,,
3421,15-Year Sentence for Pennsylvania Man Who Abused Girls at Orphanage in Kenya,2021-02-04,,
3422,"Senate Backs Biden’s Stimulus, But Rejects Quick Minimum Wage Increase",2021-02-04,,
3423,Trump Refuses Surprise Call to Testify in His Impeachment Trial,2021-02-04,,
3424,Can’t Get a Shot? Thousands of ‘Vaccine Hunters’ Are Crossing State Borders to Get Theirs,2021-02-04,,
3425,"To ‘Re-engage the World,’ Biden Looks to Win Over U.S. Diplomats First",2021-02-04,,
3426,"House Exiles Marjorie Taylor Greene From Panels, as Republicans Rally Around Her",2021-02-04,,
3427,"Virginia, Shifting Left Fast, Moves Closer to Abolishing Death Penalty",2021-02-04,,
3428,New Boston Police Leader Put on Leave as Domestic Abuse Allegations Surface,2021-02-04,,
3429,Coronavirus Briefing: What Happened Today,2021-02-04,,
3430,Biden Signals Break With Trump Foreign Policy in a Wide-Ranging State Dept. Speech,2021-02-04,,
3431,15-Year Sentence for Pennsylvania Man Who Abused Girls at Orphanage in Kenya,2021-02-04,,
3432,"Senate Backs Biden’s Stimulus, But Rejects Quick Minimum Wage Increase",2021-02-04,,
3433,Trump Refuses Surprise Call to Testify in His Impeachment Trial,2021-02-04,,
3434,Can’t Get a Shot? Thousands of ‘Vaccine Hunters’ Are Crossing State Borders to Get Theirs,2021-02-04,,
3435,"To ‘Re-engage the World,’ Biden Looks to Win Over U.S. Diplomats First",2021-02-04,,
3436,"House Exiles Marjorie Taylor Greene From Panels, as Republicans Rally Around Her",2021-02-04,,
3437,"Virginia, Shifting Left Fast, Moves Closer to Abolishing Death Penalty",2021-02-04,,
3438,New Boston Police Leader Put on Leave as Domestic Abuse Allegations Surface,2021-02-04,,
3439,Coronavirus Briefing: What Happened Today,2021-02-04,,
3440,Biden’s Policies Are Popular. What Does That Mean for Republicans?,2021-02-04,,
3441,"Woman Charged in Fatal U.K. Collision Was Employed by State Department, Lawyer Says",2021-02-04,,
3442,"New Mexico State Police Officer Is Shot and Killed, Officials Say",2021-02-04,,
3443,Senate Intelligence Committee to Examine Antigovernment Extremists,2021-02-04,,
3444,"Schumer, seeking to pressure Biden, pushes a $50,000 student debt forgiveness plan.",2021-02-04,,
3445,"Biden Freezes Trump’s Withdrawal of 12,000 Troops From Germany",2021-02-04,,
3446,"A memoir by Hunter Biden, ‘Beautiful Things,’ will focus on his substance abuse.",2021-02-04,,
3447,"Biden at 61 percent in a new poll, outdoing Trump as he undoes his agenda.",2021-02-04,,
3448,Biden calls for ‘common purpose’ at the National Prayer Breakfast.,2021-02-04,,
3449,"Analysis: Declaring democracy won’t be subverted, Biden demands Russia and Myanmar reverse course",2021-02-04,,
3450,Biden’s Policies Are Popular. What Does That Mean for Republicans?,2021-02-04,,
3451,"Woman Charged in Fatal U.K. Collision Was Employed by State Department, Lawyer Says",2021-02-04,,
3452,"New Mexico State Police Officer Is Shot and Killed, Officials Say",2021-02-04,,
3453,Senate Intelligence Committee to Examine Antigovernment Extremists,2021-02-04,,
3454,"Schumer, seeking to pressure Biden, pushes a $50,000 student debt forgiveness plan.",2021-02-04,,
3455,"Biden Freezes Trump’s Withdrawal of 12,000 Troops From Germany",2021-02-04,,
3456,"A memoir by Hunter Biden, ‘Beautiful Things,’ will focus on his substance abuse.",2021-02-04,,
